iter	RMSE
0	74833.51986
1	72459.37188
2	70407.20388
3	68340.77101
4	66220.55764
5	64280.64001
6	62390.9814
7	60528.66918
8	59027.76981
9	57301.61434
10	55641.50254
11	54176.64464
12	52685.03615
13	51285.64656
14	49967.78617
15	48828.47228
16	47731.81406
17	46580.46966
18	45507.74424
19	44366.68585
20	43359.0317
21	42430.95507
22	41535.33405
23	40708.42055
24	39861.39683
25	39060.72497
26	38284.01726
27	37593.86638
28	36920.80546
29	36347.86321
30	35792.21595
31	35156.36364
32	34591.63289
33	34101.99868
34	33492.12877
35	33104.34689
36	32600.39919
37	32151.78112
38	31795.76715
39	31301.68623
40	30902.0798
41	30513.86402
42	30119.35437
43	29747.94819
44	29404.26959
45	29131.21028
46	28787.52377
47	28433.00181
48	28107.96255
49	27840.52191
50	27555.34456
51	27249.55984
52	27013.02839
53	26776.29194
54	26564.30368
55	26321.1854
56	26107.7442
57	25871.00815
58	25643.23561
59	25419.99759
60	25206.64054
61	25040.54452
62	24823.43495
63	24612.30394
64	24430.71338
65	24214.17493
66	24044.09738
67	23852.73086
68	23695.644
69	23562.93137
70	23416.35734
71	23268.84991
72	23132.54928
73	22973.50812
74	22822.63171
75	22709.51173
76	22590.4158
77	22501.32165
78	22367.51177
79	22260.35303
80	22123.19429
81	21990.41062
82	21875.1262
83	21817.85189
84	21704.16979
85	21600.34197
86	21506.87946
87	21414.46816
88	21338.86487
89	21217.36582
90	21144.08715
91	21033.54667
92	20931.20665
93	20835.98665
94	20677.98081
95	20548.85283
96	20463.10527
97	20331.68327
98	20237.11324
99	20156.40869
100	20053.9058
101	19947.98619
102	19886.08069
103	19772.86408
104	19670.85634
105	19585.58606
106	19498.73381
107	19415.13802
108	19344.9545
109	19270.58522
110	19168.62691
111	19104.35255
112	19021.85587
113	18944.10578
114	18871.74407
115	18803.67909
116	18727.46811
117	18661.81033
118	18597.16428
119	18523.46763
120	18455.49832
121	18397.513
122	18359.6836
123	18292.74393
124	18210.75623
125	18144.25128
126	18097.82406
127	18071.23394
128	18004.32531
129	17911.75647
130	17864.67042
131	17790.09173
132	17736.27944
133	17691.61773
134	17618.80151
135	17560.78036
136	17541.26304
137	17494.73769
138	17434.73605
139	17370.36769
140	17318.65737
141	17254.64269
142	17196.47031
143	17128.36355
144	17076.41567
145	17022.28018
146	16984.58229
147	16968.5519
148	16917.48989
149	16854.68934
150	16825.07378
151	16783.6912
152	16771.73699
153	16735.53074
154	16723.15127
155	16660.1276
156	16614.5726
157	16541.50204
158	16504.93363
159	16479.86805
160	16422.67689
161	16375.3253
162	16360.91313
163	16309.68829
164	16261.0762
165	16216.05113
166	16162.76434
167	16092.05582
168	16037.65096
169	15995.10895
170	15967.63908
171	15913.3509
172	15878.18826
173	15820.61034
174	15779.8085
175	15731.30117
176	15689.06426
177	15664.15108
178	15631.28656
179	15579.81688
180	15517.72182
181	15464.96033
182	15417.76891
183	15364.93913
184	15304.92704
185	15262.51219
186	15216.38585
187	15169.95779
188	15141.34319
189	15118.79254
190	15090.19885
191	15069.2833
192	15009.91602
193	14978.50245
194	14926.90854
195	14890.67454
196	14842.46712
197	14825.135
198	14776.84336
199	14728.61043
200	14685.49566
201	14642.9936
202	14617.17016
203	14580.44012
204	14539.66906
205	14522.95273
206	14473.3804
207	14427.9292
208	14383.03393
209	14344.20295
210	14309.42892
211	14272.48833
212	14245.78936
213	14206.74678
214	14176.82938
215	14143.74608
216	14130.76902
217	14092.81301
218	14048.4085
219	14019.91737
220	14008.54238
221	13985.94538
222	13954.67367
223	13938.91698
224	13903.40271
225	13867.39587
226	13832.06127
227	13787.86339
228	13748.57455
229	13720.19059
230	13702.30958
231	13673.63067
232	13640.30556
233	13606.81626
234	13574.27722
235	13528.48886
236	13491.92033
237	13455.38064
238	13424.97142
239	13389.001
240	13358.35326
241	13328.50824
242	13290.33495
243	13267.71791
244	13256.69282
245	13244.321
246	13207.19785
247	13179.57907
248	13155.75463
249	13113.58981
250	13080.72693
251	13059.69806
252	13030.46843
253	12998.98377
254	12976.11204
255	12958.41967
256	12926.4345
257	12908.61694
258	12876.44417
259	12847.51725
260	12822.96106
261	12798.90394
262	12781.28912
263	12758.31126
264	12732.2292
265	12711.48131
266	12691.20422
267	12664.5931
268	12635.4205
269	12611.4454
270	12582.2747
271	12543.70177
272	12514.80936
273	12497.62889
274	12472.56238
275	12451.76755
276	12417.69192
277	12392.28991
278	12382.75532
279	12360.67007
280	12329.64758
281	12308.52792
282	12279.80295
283	12254.5119
284	12225.64704
