iter	Passed	Remaining
0	7	3519
1	13	3258
2	19	3165
3	25	3112
4	36	3619
5	48	4018
6	60	4263
7	71	4426
8	83	4567
9	96	4715
10	109	4853
11	121	4933
12	130	4871
13	140	4870
14	149	4834
15	161	4894
16	174	4950
17	185	4973
18	197	4994
19	208	5002
20	219	5013
21	229	4977
22	240	4988
23	251	4978
24	262	4984
25	273	4992
26	284	4987
27	295	4987
28	306	4983
29	318	4982
30	336	5096
31	347	5089
32	358	5077
33	369	5064
34	381	5064
35	392	5059
36	403	5050
37	415	5048
38	427	5049
39	439	5050
40	450	5045
41	462	5040
42	474	5038
43	485	5034
44	497	5026
45	508	5021
46	519	5009
47	530	4996
48	542	4989
49	553	4980
50	564	4969
51	575	4957
52	586	4947
53	597	4938
54	609	4929
55	621	4927
56	633	4920
57	644	4908
58	655	4899
59	666	4889
60	677	4877
61	688	4866
62	699	4851
63	710	4838
64	722	4831
65	733	4825
66	745	4819
67	759	4827
68	774	4838
69	789	4848
70	801	4840
71	812	4829
72	823	4817
73	835	4808
74	845	4793
75	856	4777
76	866	4762
77	876	4744
78	886	4726
79	897	4709
80	907	4692
81	917	4676
82	927	4659
83	937	4642
84	947	4626
85	957	4610
86	968	4595
87	978	4578
88	987	4562
89	997	4545
90	1008	4531
91	1018	4515
92	1028	4502
93	1041	4498
94	1053	4492
95	1065	4485
96	1077	4475
97	1087	4460
98	1097	4445
99	1107	4429
100	1117	4414
101	1127	4398
102	1137	4383
103	1147	4369
104	1157	4354
105	1167	4339
106	1177	4324
107	1187	4309
108	1197	4295
109	1207	4282
110	1217	4267
111	1227	4253
112	1237	4239
113	1247	4224
114	1257	4210
115	1267	4196
116	1277	4181
117	1287	4167
118	1299	4160
119	1313	4160
120	1325	4150
121	1336	4142
122	1348	4134
123	1360	4126
124	1372	4118
125	1384	4109
126	1395	4099
127	1407	4089
128	1419	4082
129	1430	4071
130	1442	4062
131	1452	4048
132	1460	4029
133	1469	4013
134	1479	4000
135	1489	3987
136	1500	3976
137	1512	3966
138	1523	3957
139	1535	3948
140	1545	3936
141	1558	3929
142	1570	3920
143	1582	3911
144	1593	3900
145	1604	3890
146	1615	3880
147	1628	3873
148	1639	3861
149	1651	3852
150	1658	3833
151	1666	3814
152	1674	3796
153	1686	3789
154	1694	3770
155	1702	3753
156	1709	3735
157	1720	3724
158	1730	3711
159	1740	3697
160	1751	3687
161	1759	3671
162	1767	3653
163	1780	3648
164	1792	3639
165	1803	3629
166	1816	3621
167	1828	3613
168	1840	3604
169	1847	3585
170	1858	3575
171	1869	3565
172	1880	3554
173	1892	3544
174	1903	3534
175	1914	3523
176	1925	3513
177	1933	3497
178	1941	3481
179	1953	3473
180	1965	3464
181	1976	3453
182	1989	3446
183	2000	3436
184	2011	3424
185	2020	3411
186	2030	3399
187	2041	3387
188	2050	3374
189	2060	3362
190	2071	3350
191	2082	3340
192	2093	3330
193	2105	3320
194	2116	3309
195	2126	3298
196	2137	3288
197	2148	3277
198	2159	3266
